Contract,Expiry,Month,Code,BB Suffix,BB Ticker,Region,Description,Last,Net Ch,Time,High,Low,NAME,Full Description,FUT_GEN_MONTH,NAME,ID_BB_GLOBAL_COMPANY_NAME,COUNTRY,COUNTRY_ISO,COUNTRY_FULL_NAME,NEWS_TOPIC,TODAY_DT,FUT_TRADING_HRS,FUT_FIRST_TRADE_DT,FUT_ROLL_DT,FEED_CODE,ID_BB,ID_BB_SEC_NUM,ID_EXCH_SYMBOL,PRICE_LAST_TIME,ID_ISIN,ID_MIC_PRIM_EXCH,SECURITY_DES,SHORT_NAME,SECURITY_NAME,SECURITY_NAME_LANG,FUT_LONG_NAME,SECURITY_DESCRIPTION_RT,TICKER,UNDL_SPOT_TICKER,TICKER_RT,FUT_CONT_SIZE,FUT_NUM_GEN_AVAIL,CRNCY,QUOTE_UNITS,FUT_DLV_DT_FIRST,FUT_DLV_DT_LAST,LAST_TRADEABLE_DT,FUT_DAYS_EXPIRE,FUT_ACT_DAYS_EXP,FUT_MONTH_YR,FUT_CONTRACT_DT,CURRENT_CONTRACT_MONTH_YR,MARKET_SECTOR_DES,MARKET_SECTOR,UNDL_MARKET_SECTOR,BB_COUNTRY_CODE,CALENDAR_CODE,CDR_SETTLE_CODE,CASH_SETTLED,CASH_SETTLED_RT
Z ,Mar17,H7,Z H7,Index,Z H7 Index,UK,FTSE 100,6500,9.5,0.385416667,6504.5,6461,FTSE 100 IDX FUT,FTSE 100 Index Future,HMUZ,FTSE 100 IDX FUT  Sep16,FTSE 100 Index Future,GB,GB,BRITAIN,LNS,23/01/2017,01:00-21:00,21/03/2016,17/03/2017,ICE EUR,Z H7,60551612,Z,09:14:07,#N/A N/A,IFLL,Z H7,FTSE 100 IDX FUT  Mar17,FTSE 100 IDX FUT  Mar17,1,FTSE 100 IDX FUT  Mar17,Z H7,Z H7,UKX,Z H7,10,4,GBP,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,GB,IP,IP,Y,TRUE
CF,Feb17,G7,CFG7,Index,CFG7 Index,France,CAC 40,4131.5,14.5,0.381944444,4134,4094.5,CAC40 10 EURO FUT,Euronext CAC 40 Index Future,FGHJKMNQUVXZ,CAC40 10 EURO FUT Jul16,Euronext CAC 40 Index Future,FR,FR,FRANCE,FPS,23/01/2017,07:00-21:00,21/11/2016,17/02/2017,LIFFE,CFG7,68008487,FCE,09:09:07,#N/A N/A,XMON,CFG7,CAC40 10 EURO FUT Feb17,CAC40 10 EURO FUT Feb17,1,CAC40 10 EURO FUT Feb17,CFG7,CFG7,CAC,CFG7,10,14,EUR,index points,20/02/2017,20/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,FR,PA,PA,Y,TRUE
SW,Mar17,H7,SWH7,Index,SWH7 Index,Italy,MINI FTSE/MIB,15650,227,0.381944444,15650,15335,MINI FTSE/MIB FUT,Milan Stock Exchange Mini S&P/MIB Index Future,HMUZ,MINI FTSE/MIB FUT Sep16,Milan Stock Exchange Mini S&P/MIB Index Future,IT,IT,ITALY,IMS,23/01/2017,08:00-16:40,19/09/2016,17/03/2017,Italy,SWH7,3769022,MINI,09:09:09,IT0013262297,XDMI,SWH7,MINI FTSE/MIB FUT Mar17,MINI FTSE/MIB FUT Mar17,1,MINI FTSE/MIB FUT Mar17,SWH7,SWH7,FTSEMIB,SWH7,1,2,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,IT,MI,MI,Y,TRUE
ST,Mar17,H7,STH7,Index,STH7 Index,Italy,FTSE MIB,15645,222,0.381944444,15645,15330,FTSE/MIB IDX FUT,FTSE/MIB Index Future,HMUZ,FTSE/MIB IDX FUT  Sep16,FTSE/MIB Index Future,IT,IT,ITALY,IMS,23/01/2017,08:00-16:50,21/03/2016,17/03/2017,Italy,STH7,3768802,FTMIB,09:09:10,IT0012922958,XDMI,STH7,FTSE/MIB IDX FUT  Mar17,FTSE/MIB IDX FUT  Mar17,1,FTSE/MIB IDX FUT  Mar17,STH7,STH7,FTSEMIB,STH7,5,4,EUR,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,IT,MI,MI,Y,TRUE
EO,Feb17,G7,EOG7,Index,EOG7 Index,Netherlands,AEX,427.35,1.05,0.381944444,427.6,423.8,AMSTERDAM IDX FUT,Euronext Amsterdam Index Future,FGHJKMNQUVXZ,AMSTERDAM IDX FUT Jul16,Euronext Amsterdam Index Future,NL,NL,NETHERLANDS,NAS,23/01/2017,07:00-21:00,21/11/2016,17/02/2017,LIFFE,EOG7,4411838,FTI,09:09:04,#N/A N/A,XEUE,EOG7,AMSTERDAM IDX FUT Feb17,AMSTERDAM IDX FUT Feb17,1,AMSTERDAM IDX FUT Feb17,EOG7,EOG7,AEX,EOG7,200,6,EUR,index points,17/02/2017,17/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,NE,AM,AM,Y,TRUE
QC,Feb17,G7,QCG7,Index,QCG7 Index,Sweden,OMX STKH30,1309,5.5,0.381944444,1309,1298,OMXS30 IND FUTURE,OML Stockholm OMXS30 Index Future,FGHJKMNQUVXZ,OMXS30 IND FUTURE Jul16,OML Stockholm OMXS30 Index Future,SE,SE,SWEDEN,SSS,23/01/2017,08:00-16:25,14/11/2016,17/02/2017,NORDIC,QCG7,68008535,OMXS30,09:09:09,SE0009294028,XSTO,QCG7,OMXS30 IND FUTURE Feb17,OMXS30 IND FUTURE Feb17,1,OMXS30 IND FUTURE Feb17,QCG7,QCG7,OMX,QCG7,100,7,SEK,index points,17/02/2017,17/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,SW,SW,SW,Y,TRUE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NK,Mar17,H7,NKH7,COMB Index,NKH7 COMB Index,Japan,NIKKEI 225 (OSE),15160,40,0.4,15210,15160,NIKKEI 225 (OSE),OSE Nikkei 225 Index Future,HMUZ,NIKKEI 225  (OSE) Sep16,OSE Nikkei 225 Index Future,JP,JP,JAPAN,JPS,23/01/2017,07:30-20:30 & 23:45-06:15,11/09/2015,09/03/2017,JAPAN,NKH7,54947769,NK225,09:04:06,#N/A Field Not Applicable,XOSE,NKH7 COMB,NIKKEI 225  (OSE) Mar17,NIKKEI 225  (OSE) Mar17,1,NIKKEI 225  (OSE) Mar17,NKH7 COMB,NKH7,NKY,NKH7,1000,5,JPY,index points,10/03/2017,10/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,JN,OK,OK,Y,TRUE
NI,Mar17,H7,NIH7,COMB Index,NIH7 COMB Index,Japan,NIKKEI 225 (SGX),15155,15,0.406944444,15210,15155,NIKKEI 225 (SGX),SGX Nikkei 225 Stock Index Future,HMUZ,NIKKEI 225  (SGX) Sep16,SGX Nikkei 225 Stock Index Future,SG,SG,SINGAPORE,JPS,23/01/2017,06:55-20:45 & 23:30-06:30,21/10/2013,09/03/2017,SIMEX,NIH7,37352549,NK,09:14:09,#N/A Field Not Applicable,XSIM,NIH7 COMB,NIKKEI 225  (SGX) Mar17,NIKKEI 225  (SGX) Mar17,1,NIKKEI 225  (SGX) Mar17,NIH7 COMB,NIH7,NKY,NIH7,500,26,JPY,index points,10/03/2017,10/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,SI,SG,SG,Y,TRUE
NX,Mar17,H7,NXH7,COMB Index,NXH7 COMB Index,Japan,NIKKEI 225 (CME),15230,-130,0.406944444,15455,15160,NIKKEI 225 (CME),CME Nikkei 225 Index Future,HMUZ,NIKKEI 225  (CME) Sep16,CME Nikkei 225 Index Future,US,US,UNITED STATES,JPS,23/01/2017,23:00-22:00,11/03/2016,09/03/2017,CME,NXH7,60161471,NKD,09:13:48,#N/A Field Not Applicable,XCME,NXH7 COMB,NIKKEI 225  (CME) Mar17,NIKKEI 225  (CME) Mar17,1,NIKKEI 225  (CME) Mar17,NXH7 COMB,NXH7,NKY,NXH7,5,4,USD,index points,09/03/2017,09/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
TP,Mar17,H7,TPH7,COMB Index,TPH7 COMB Index,Japan,TOPIX,1214,3,0.399305556,1218,1213.5,TOPIX INDX FUTR,TSE TOPIX (Tokyo Price Index) Future,HMUZ,TOPIX INDX FUTR   Sep16,TSE TOPIX (Tokyo Price Index) Future,JP,JP,JAPAN,JPS,23/01/2017,07:30-20:30 & 23:45-06:15,11/12/2015,09/03/2017,JAPAN,TPH7,56513129,TOPIX,09:04:10,#N/A Field Not Applicable,XOSE,TPH7 COMB,TOPIX INDX FUTR   Mar17,TOPIX INDX FUTR   Mar17,1,TOPIX INDX FUTR   Mar17,TPH7 COMB,TPH7,TPX,TPH7,10000,5,JPY,index points,10/03/2017,10/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,JN,OK,OK,Y,TRUE
TZ,Mar17,H7,TZH7,COMB Index,TZH7 COMB Index,Japan,TPX BANKS,121.6,-1.8,42589,,,TPX BANKS INDEX,TSE TOPIX Banks Index Future,HMUZ,TPX BANKS INDEX   Sep16,TSE TOPIX Banks Index Future,JP,JP,JAPAN,GINKO,23/01/2017,07:30-20:30 & 23:45-06:15,10/06/2016,09/03/2017,JAPAN,TZH7,63007950,BANK,01:30:34,#N/A Field Not Applicable,XOSE,TZH7 COMB,TPX BANKS INDEX   Mar17,TPX BANKS INDEX   Mar17,1,TPX BANKS INDEX   Mar17,TZH7 COMB,TZH7,TPNBNK,TZH7,10000,3,JPY,index points,10/03/2017,10/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,JN,OK,OK,Y,TRUE
NH,Mar17,H7,NHH7,Index,NHH7 Index,Japan,YEN DENOM NIKKEI,15155,-135,0.406944444,15375,15080,YEN DENOM NIKKEI,CME Yen Denominated Nikkei 225 Index Future,HMUZ,YEN DENOM NIKKEI  Sep16,CME Yen Denominated Nikkei 225 Index Future,US,US,UNITED STATES,JPS,23/01/2017,23:00-22:00,14/03/2014,09/03/2017,CME,NHH7,40614377,NIY,09:13:48,#N/A Field Not Applicable,XCME,NHH7,YEN DENOM NIKKEI  Mar17,YEN DENOM NIKKEI  Mar17,1,YEN DENOM NIKKEI  Mar17,NHH7,NHH7,NKY,NHH7,500,12,JPY,index points,09/03/2017,09/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
MND,Dec17,Z7,MNDZ7,COMB Index,MNDZ7 COMB Index,Japan,NIKKEI DIVIDEND,326.1,-0.4,42558,325.8,325.5,NIKKEI DIVIDEND,SGX Nikkei Dividend Index Future,Z,NIKKEI DIVIDEND   Dec16,SGX Nikkei Dividend Index Future,SG,SG,SINGAPORE,#N/A N/A,23/01/2017,06:55-20:45 & 23:30-06:25,17/06/2010,29/03/2018,SIMEX,MNDZ7,17098135,ND,07:05:01,#N/A Field Not Applicable,XSIM,MNDZ7 COMB,NIKKEI DIVIDEND   Dec17,NIKKEI DIVIDEND   Dec17,1,NIKKEI DIVIDEND   Dec17,MNDZ7 COMB,MNDZ7,NKYDIV,MNDZ7,10000,11,JPY,index points,01/04/2018,01/04/2018,29/03/2018,433,430,DEC 17,12/2017,DEC 17,Index,9,9,SI,SG,SG,Y,TRUE
NO,Mar17,H7,NOH7,COMB Index,NOH7 COMB Index,Japan,NIKKEI 225,15165,45,0.4,15210,15160,NIKKEI 225 MINI,OSE Nikkei 225 mini Future,FGHJKMNQUVXZ,NIKKEI 225 MINI   Sep16,OSE Nikkei 225 mini Future,JP,JP,JAPAN,JPS,23/01/2017,07:30-20:30 & 23:45-06:15,11/09/2015,09/03/2017,JAPAN,NOH7,54947644,NK225M,09:04:07,#N/A Field Not Applicable,XOSE,NOH7 COMB,NIKKEI 225 MINI   Mar17,NIKKEI 225 MINI   Mar17,1,NIKKEI 225 MINI   Mar17,NOH7 COMB,NOH7,NKY,NOH7,100,5,JPY,index points,10/03/2017,10/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,JN,OK,OK,Y,TRUE
JPW,Mar17,H7,JPWH7,COMB Index,JPWH7 COMB Index,Japan,JPX Nikkei 400,10930,25,0.399305556,10970,10930,JPNK400 Index Fut,OSE JPX-Nikkei Index 400 Futures,HMUZ,JPNK400 Index Fut Sep16,OSE JPX-Nikkei Index 400 Futures,JP,JP,JAPAN,#N/A N/A,23/01/2017,07:30-20:30 & 23:45-06:15,11/12/2015,09/03/2017,JAPAN,JPWH7,57599891,JN400,09:02:18,#N/A Field Not Applicable,XOSE,JPWH7 COMB,JPNK400 Index Fut Mar17,JPNK400 Index Fut Mar17,1,JPNK400 Index Fut Mar17,JPWH7 COMB,JPWH7,JPNK400,JPWH7,100,5,JPY,index points,10/03/2017,10/03/2017,09/03/2017,47,45,MAR 17,03/2017,MAR 17,Index,9,9,JN,OK,OK,Y,TRUE
IFB,Feb17,G7,IFBG7,Index,IFBG7 Index,China,CSI 300,3177.2,-6,0.333333333,3187.8,3163.6,CSI 300 IDX FUTUR,CSI 300 Futures,FGHJKMNQUVXZ,CSI 300 IDX FUTUR Jul16,CSI 300 Futures,CN,CN,CHINA,CHS,23/01/2017,01:30-03:30 & 05:00-07:00,19/12/2016,17/02/2017,CFFEX,IFBG7,68978391,IF,02:00:00,#N/A Field Not Applicable,CCFX,IFBG7,CSI 300 IDX FUTUR Feb17,CSI 300 IDX FUTUR Feb17,1,CSI 300 IDX FUTUR Feb17,IFBG7,IFBG7,SHSN300,IFBG7,300,4,CNY,index points,17/02/2017,17/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,CH,CH,CH,Y,TRUE
FFD,Feb17,G7,FFDG7,Index,FFDG7 Index,China,CSI 500,6277,9,0.333333333,6299,6226,CSI500 IDX Future,CSI500 Index Future,FGHJKMNQUVXZ,CSI500 IDX Future Jul16,CSI500 Index Future,CN,CN,CHINA,#N/A N/A,23/01/2017,01:30-03:30 & 05:00-07:00,19/12/2016,17/02/2017,CFFEX,FFDG7,68978388,IC,02:00:00,#N/A Field Not Applicable,CCFX,FFDG7,CSI500 IDX Future Feb17,CSI500 IDX Future Feb17,1,CSI500 IDX Future Feb17,FFDG7,FFDG7,SH000905,FFDG7,200,4,CNY,index points,17/02/2017,17/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,CH,CH,CH,Y,TRUE
XU,Feb17,G7,XUG7,COMB Index,XUG7 COMB Index,China,FTSE CHINA A50,9350,-7.5,0.40625,9355,9342.5,FTSE CHINA A50,SGX FTSE China A50 Futures Contract,FGHJKMNQUVXZ,FTSE CHINA A50    Jul16,SGX FTSE China A50 Futures Contract,CN,CN,CHINA,#N/A N/A,23/01/2017,09:00-20:45 & 01:00-08:35,30/11/2016,27/02/2017,SIMEX,XUG7,68402398,CN,09:10:04,#N/A Field Not Applicable,XSIM,XUG7 COMB,FTSE CHINA A50    Feb17,FTSE CHINA A50    Feb17,1,FTSE CHINA A50    Feb17,XUG7 COMB,XUG7,XIN9I,XUG7,1,6,USD,index points,27/02/2017,27/02/2017,27/02/2017,35,35,FEB 17,02/2017,FEB 17,Index,9,9,SI,SG,SG,Y,TRUE
CES,Feb17,G7,CESG7,Index,CESG7 Index,China,CES China 120,4671.5,25,42558,,,CES China 120 Fut,CES China 120 Index Futures,FGHJKMNQUVXZ,CES China 120 Fut Jul16,CES China 120 Index Futures,HK,HK,HONG KONG,#N/A N/A,23/01/2017,01:15-04:00 & 05:00-08:30,30/12/2016,27/02/2017,HONGKONG,CESG7,69529595,CHH,03:30:00,#N/A Field Not Applicable,XHKF,CESG7,CES China 120 Fut Feb17,CES China 120 Fut Feb17,1,CES China 120 Fut Feb17,CESG7,CESG7,CES120,CESG7,50,4,HKD,HKD x index,28/02/2017,28/02/2017,27/02/2017,35,35,FEB 17,02/2017,FEB 17,Index,9,9,HK,HO,HO,Y,TRUE
FFB,Feb17,G7,FFBG7,Index,FFBG7 Index,China,Shanghai 50 A,2140.2,-5.6,0.333333333,2145.4,2132.8,SSE50 Index Futur,SSE50 Index Future,FGHJKMNQUVXZ,SSE50 Index Futur Jul16,SSE50 Index Future,CN,CN,CHINA,#N/A N/A,23/01/2017,01:30-03:30 & 05:00-07:00,19/12/2016,17/02/2017,CFFEX,FFBG7,68978392,IH,02:00:00,#N/A Field Not Applicable,CCFX,FFBG7,SSE50 Index Futur Feb17,SSE50 Index Futur Feb17,1,SSE50 Index Futur Feb17,FFBG7,FFBG7,SSE50,FFBG7,300,4,CNY,index points,17/02/2017,17/02/2017,17/02/2017,27,25,FEB 17,02/2017,FEB 17,Index,9,9,CH,CH,CH,Y,TRUE
XP,Mar17,H7,XPH7,COMB Index,XPH7 COMB Index,Australia,S&P/ASX 200,5195,6,0.406944444,5203,5195,SPI 200 FUTURES,SFE S&P ASX Share Price Index 200 Future,HMUZ,SPI 200 FUTURES   Sep16,SFE S&P ASX Share Price Index 200 Future,AU,AU,AUSTRALIA,AUS,23/01/2017,06:10-21:00 & 22:50-05:30,18/09/2015,16/03/2017,SYDNEY,XPH7,55096795,AP,09:13:22,#N/A Field Not Applicable,XSFE,XPH7 COMB,SPI 200 FUTURES   Mar17,SPI 200 FUTURES   Mar17,1,SPI 200 FUTURES   Mar17,XPH7 COMB,XPH7,AS51,XPH7,25,8,AUD,index points,17/03/2017,17/03/2017,16/03/2017,53,52,MAR 17,03/2017,MAR 17,Index,9,9,AU,SF,SF,Y,TRUE
VPA,Mar17,H7,VPAH7,Index,VPAH7 Index,Australia,S&P/ASX 200 A-REIT,1490,-3,0.315972222,1493,1489,S&P/ASX200 A-REIT,S&P/ASX 200 Australian Real Estate Investment Trust A-REIT Index Futures,HMUZ,S&P/ASX200 A-REIT Sep16,S&P/ASX 200 Australian Real Estate Investment Trust A-REIT Index Futures,AU,AU,AUSTRALIA,#N/A N/A,23/01/2017,22:50-05:30,18/03/2016,16/03/2017,SYDNEY,VPAH7,60515377,AA,00:36:14,#N/A Field Not Applicable,XSFE,VPAH7,S&P/ASX200 A-REIT Mar17,S&P/ASX200 A-REIT Mar17,1,S&P/ASX200 A-REIT Mar17,VPAH7,VPAH7,AS51PROP,VPAH7,25,4,AUD,index points,20/03/2017,20/03/2017,16/03/2017,53,52,MAR 17,03/2017,MAR 17,Index,9,9,AU,SF,SF,Y,TRUE
